# Shared terms. english<TAB>thai<TAB>note
# Append anything a later batch will also hit. Weapons, stats and status effects recur everywhere.

# --- core nouns ---
Relic	เรลิค	tarot-themed passive items; keep as a loanword, ศักดิ์สิทธิ์/วัตถุมงคล reads far too solemn
Pearl	ไข่มุก
Resonance	เรโซแนนซ์	Lightning Resonance = เรโซแนนซ์สายฟ้า; Five-Color Resonance = เรโซแนนซ์ห้าสี
Unique Passive	พาสซีฟเฉพาะ	the "(Unique Passive)" tag closing many legendary relics
limit +{N}	ขีดจำกัด +{N}	"Your [Ember] limit +1000"
temporary stacks	ชั้นชั่วคราว
break armor	ทำลายเกราะ
immobilizing	ตรึงอยู่กับที่
Weapons no longer spread	อาวุธไม่กระจาย
marks an enemy	ทำเครื่องหมายศัตรู
non-Legendary	ที่ไม่ใช่ระดับตำนาน
Excess (Smite Chance)	ส่วนเกิน

# elemental proc objects (these are effect names, not relics — no หลอม· prefix unless Forged)
Ice Spike	หนามน้ำแข็ง
Ice Blast	ระเบิดน้ำแข็ง
Ice Meteorite	อุกกาบาตน้ำแข็ง
Blizzard	พายุหิมะ
Giant Glacier	ธารน้ำแข็งยักษ์
Eye of the Storm	ตาพายุ
Chain Lightning	สายฟ้าลูกโซ่	bounces = การเด้ง, "bounces up to 3 times" = เด้งได้สูงสุด 3 ครั้ง
Electric Circle	วงไฟฟ้า
Lightning Circle	วงสายฟ้า
Thunderstorm	พายุฟ้าคะนอง
Heavenly Thunder	สายฟ้าสวรรค์	deliberately not ฟ้าผ่า — that is Lightning Strike = สายฟ้าฟาด
Thunder Arrow	ลูกศรสายฟ้า
Capacitor Round	กระสุนเก็บประจุ
Turbulent Field	สนามปั่นป่วน	Forged version: หลอม·สนามปั่นป่วน
Flame Round	กระสุนเพลิง
Fire Nova	โนวาเพลิง
White Phosphorus Grenade	ระเบิดฟอสฟอรัสขาว	Phosphor Round = กระสุนฟอสฟอรัส
[Cursed Fire]	[เพลิงต้องสาป]
[Molten Armor]	[เกราะหลอมเหลว]
[Explosive Fire Circle]	[วงเพลิงระเบิด]
Volatile Explosive	ระเบิดไวไฟ	Thermite Explosive = ระเบิดเทอร์ไมต์
Acidfire Flask	ขวดกรดเพลิง
Acid Rain	ฝนกรด
Acid Explosion	ระเบิดกรด
Poison Explosion	ระเบิดพิษ
Poisoned	ติดพิษ	the DoT [Corrosion] applies; distinct from the Poison status พิษ
Vines	เถาวัลย์
[Bloom]	[เบ่งบาน]	the [Growth] replacement; still counts as [เติบโต]
Flower of Life	ดอกไม้แห่งชีวิต	[Seed of Life] = [เมล็ดแห่งชีวิต]
Blood Spear	หอกเลือด
Blood Curse	คำสาปเลือด
[Blood Splash]	[เลือดสาด]
Blood Beads	ลูกปัดเลือด
Shattering Blade	ใบมีดแตกสลาย
sawblade	ใบเลื่อย
Disintegration	การสลาย
Magic Bomb	ระเบิดเวท
Arcane Wave	คลื่นเวทมนตร์
Prismatic Starlight	แสงดาวปริซึม
Colorless Prism	ปริซึมไร้สี
Fatal Shell	กระสุนสังหาร
Light Arrow	ลูกศรแสง
Death's Scythe	เคียวมรณะ
Devil's Coin	เหรียญปีศาจ
Five-Color Baby Dragon	มังกรน้อยห้าสี	Dragon Breath = ลมหายใจมังกร
Five-Color Crystal / Ring / Supreme Ring	คริสตัลห้าสี / แหวนห้าสี / แหวนห้าสีสูงสุด
Five-Color Divine Lightning	สายฟ้าทัณฑ์สวรรค์ห้าสี

# named objects referenced by the tarot unique passives
[World Stone]	[ศิลาโลก]
Tower Key	กุญแจหอคอย
[Sword of Justice]	[ดาบแห่งความยุติธรรม]
[Sigil of Temperance]	[ตราแห่งความพอดี]
[Chariot Wheel]	[ล้อราชรถ]
[Hell's Contract] / [Devil's Contract]	[สัญญานรก] / [สัญญาปีศาจ]
[Blessing of the Holy Sun]	[พรแห่งสุริยันศักดิ์สิทธิ์]	Scorching Sun = พรแห่งสุริยันแผดเผา
Noon state	สถานะเที่ยงวัน

# --- added by the character skill-tree batch (c_roleskilltree) ---

# recurring damage-source phrases on every character's nodes
Current Weapon's Elemental Damage	ความเสียหายธาตุอาวุธปัจจุบัน	当前武器属性伤害; the single most common phrase in the skill trees. Main Weapon Elemental Damage = ความเสียหายธาตุอาวุธหลัก
Fatal Hit	ความเสียหายถึงตาย	kept from the pearl batch; wrapped in <color=#e92f2f> on most rows
Triggers once per run.	จำกัด 1 ครั้งต่อเกม	matches "Once per stage." = จำกัด 1 ครั้งต่อด่าน
exclusive Relic	เรลิคเฉพาะตัว	专属秘宝
for free / no-cost cast	ฟรี 1 ครั้ง	trails the verb: "ใช้[ระเบิดแมวป่า]ฟรี 1 ครั้ง"
While under [X] / While in [X]	ขณะอยู่ใน[X]	one shape for all "while in state" clauses
trigger chance +N%	โอกาสกระตุ้น[X] +N%
is consumed (a charge/stack)	ถูกใช้ไป
Dash	พุ่งตัว	瞬身, Elena's dodge replacement; plain Dodge stays หลบ
invincibility window	ช่วงอมตะ	无敌时间

# skill-tree keyword states (bracketed, referenced across a character's whole tree)
[Novice's Luck]	[ดวงมือใหม่]	already set by the pearl batch — Jester's whole tree hangs off it
[Justice Heart]	[หัวใจยุติธรรม]	正义之心, Jester ultimate
[Trading Expert]	[เซียนการค้า]	交易专家; Trading Master = ปรมาจารย์การค้า
[All or Nothing]	[เสี่ยงสูงคุ้มสูง]	高风险高回报, Lanny ultimate
[Geminate Shot]	[ยิงสองนัด]	二连射; Triple Shot = ยิงสามนัด
[Fatal Silver Bullet]	[กระสุนเงินสังหาร]	致命银弹, Marcus. Silver Bullet alone = กระสุนเงิน
[Hunter's Mark]	[ตรานักล่า]	猎人印记
[Waste to Treasure]	[ขยะเป็นสมบัติ]	变废为宝, Jenny
[Wildcat Bomb]	[ระเบิดแมวป่า]	野猫炸弹
[Demon Hunting Time]	[เวลาล่าปีศาจ]	猎魔时刻, Elena ultimate
[Demon Hunting Silver Arrow]	[ลูกศรเงินล่าปีศาจ]	猎魔银箭
[Dragon Breath]	[ลมหายใจมังกร]	龙息, Amber's attack; Lesser Dragon Breath = ลมหายใจมังกรรอง
[Dragon Flame]	[เปลวมังกร]	龙焰, the burn stack; Dragon Flame Blast = เปลวมังกรระเบิด
[Fury]	[บ้าคลั่ง]	狂暴, Amber's rage state
[Starlight]	[แสงดาว]	星辉, Stella's stack; Starlight Card = ไพ่แสงดาว
[Wheel of Fate]	[กงล้อโชคชะตา]	命运轮转/幸运轮转. Kept apart from the tarot card Wheel of Fortune = กงล้อแห่งโชคชะตา
[Destroy Them!]	[กำจัดพวกมัน!]	消灭他们！, Long Tong ultimate
Indomitable	นักล่าไม่ยอมแพ้	猎人不屈; the identical once-per-run revive node on all 7 characters — one wording everywhere
